"PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","Metric"
0.144619147411641,-0.353817246329612,0.0585345152427618,-0.0410476995744571,0.0306150817122595,0.0152214318713913,0.0262704412108761,-0.0129097212208636,0.0240162675602301,0.323709941429182,-0.365973606563664,0.636405163352176,-0.00873773512498095,0.081146611501628,-0.436345379888347,-0.0222080143431916,-0.053970549530199,-0.037832985214514,0.0235117235750907,"CPU_Usage_Percent"
0.159203993986714,-0.36209543104916,-0.0320497183568295,0.0155871520602791,-0.0373171095234372,-0.0557120964927282,0.0488354737213778,0.0407094455661937,0.0307133165133717,-0.301930653843189,0.0289299176288902,-0.446121118635194,0.114898831438197,-0.360429298414264,-0.627785798865807,0.02877073623176,-0.039180260971835,-0.0013775839023601,-0.0466377598953604,"Memory_Usage_GB"
-0.406889939494211,-0.17864343536975,-0.046085338517233,-0.00910894165467126,-0.0249631270678425,0.0219784888741222,0.0128048526493417,-0.0391670921312565,-0.0136438745770451,-0.00795986406529161,0.0242998074481931,-0.0135782778420972,-0.0477397863992157,-0.0359906863489978,0.0749282357629555,-0.00817959628126044,-0.878242675670612,-0.101653113596127,0.0747833600284931,"Disk_IO_Read_Mbps"
-0.40970946909934,-0.183691585518667,0.0122177331222428,0.00690404966052254,0.0129528534818634,0.0099383147184898,0.0174131702078451,0.0320703332350235,-0.00760055872416255,-0.0134976380667191,-0.0661249186349113,-0.043807231738069,0.0347230438267229,0.0325517402887347,0.0241703510662421,-0.0361799548447672,0.296448945912203,-0.802289290915372,-0.233152792364642,"Disk_IO_Write_Mbps"
-0.410968328966446,-0.169383427022182,-0.0139818321329866,0.0105267017799168,-0.0220030078332813,-0.00123018247272202,-0.041415876094144,0.0138760818750084,0.0197675834359344,-0.0231881257440636,0.030031085797316,0.0488698309202125,0.0129234851253465,-0.0118644281272411,-0.0255770909995454,-0.629336968539183,0.140570755121692,0.445792449995785,-0.424238035363372,"Disk_Queue_Depth"
-0.407343828770751,-0.172029653520344,-0.0143318412907516,0.00319684038392383,0.0142647759315972,-0.015528715527862,-0.011695865907943,0.0249353710366771,0.00376653429495351,0.02687492268104,-0.00973593015767518,0.0300189119814406,-0.00361966930794905,0.0465355481060463,-0.0193239880318111,0.767879105935611,0.148675710004904,0.344216409131507,-0.261812565301851,"Temperature_Celsius"
0.0205799980252944,0.00429133086968394,-0.463006288084795,-0.25740483263868,-0.278484989440834,0.305864135933109,-0.225297255977581,0.654231720755113,-0.238509661012405,-0.0156228417613159,-0.0373377415243797,0.0203480644692749,0.0483736331803774,0.0778707547399989,-0.0242306954972324,-0.00104080535044614,-0.00268343277522691,-0.00177344171926605,0.0331620209428415,"Power_Consumption_Watts"
-0.00190651587382425,0.027101521150866,0.49222155152208,0.222609264914973,-0.18032495634337,-0.462654085493561,0.0336014565605268,0.642965075847429,0.179404032002171,-0.0396447203407044,-0.0480836796966913,0.0229852790385536,0.0108843532932398,0.0481086285439368,0.0483524972409835,-0.00347984766228989,-0.0702775443693393,0.00209369859411673,-0.00131129912314385,"Fan_Speed_RPM"
0.00435734277132944,-0.00394479232736708,0.322412917894392,0.390026703420502,0.279961276260913,0.586344294645634,-0.509513601672594,0.10970332845395,0.128747374983026,-0.00322388334722498,-0.111072818270069,-0.0776726758956295,-0.0819045867527014,-0.086684621166201,-0.0102361350970875,0.0108552773237643,-0.0248265776943883,0.00575591345440787,0.00514481541746926,"Process_Count"
0.153578385434873,-0.315528730494456,0.0540902558035652,-0.00812604192549068,0.0239753747376714,0.0116400994863316,-0.117303848064767,-0.0311531934316165,-0.0345669373283904,-0.611228305332014,0.448865063717312,0.348790380199305,-0.251081128502825,0.30365033585642,0.0500048238588604,0.0217309643914137,0.0126145577416737,-0.0454817563770208,-0.0068777567823591,"Network_In_Mbps"
0.157879401413707,-0.33236010424721,-0.0120634159684327,-0.0890080460566841,-0.0181595290130473,-0.0305618960459853,0.0820199782234707,-0.0194165909843187,-0.0966451742833522,-0.26565146746662,-0.627928722738035,-0.0962846130243452,-0.300560075033396,-0.21729873033227,0.469426529824206,-0.00384010168886777,0.0419540844758015,0.0693426873335929,-0.0141051594258531,"Network_Out_Mbps"
0.158889073385144,-0.35321741751192,0.0327642966480529,-0.025161828374239,0.142955095210419,-0.0365711944881868,-0.0840936471870349,-0.0457540296440459,-0.00693637886166944,0.0846999086211604,-0.118543012519656,-0.328423107374948,0.510271587916173,0.63228997683766,0.145065247700731,-0.0320451366423091,-0.0526971412521132,0.0554255278044298,0.0110654078887157,"Packet_Loss_Rate"
0.129328220293907,-0.372061213573632,-0.0168032223076068,0.095619892396603,-0.0831728688599443,0.0503950991213744,-0.00849940112023637,0.0347003728305997,0.0424750482844634,0.193038153903492,0.346619770326576,0.217196336038406,0.449657664069541,-0.506911034870289,0.391037079116175,0.0266474764680459,0.0558995211022642,-0.00781844781937903,0.0483864727347604,"Latency_ms"
0.139099150663411,-0.338628263802941,-0.0255861332211942,0.0300412313803421,-0.0776376315695844,-0.00168000250331138,0.0376961861118467,0.0597175819248378,0.0372111087608715,0.544922785691563,0.307767810621208,-0.303534204315222,-0.593629957648539,0.105493103763692,0.04195474592739,-0.0250701172510381,0.0444455271138405,-0.00776147527656781,-0.0166840436305241,"Connections_Established"
-0.00908946208842122,0.0021833320125177,-0.0504357702651338,-0.599249911360386,0.512265496740855,-0.18437734830356,-0.249822929546741,0.146290820062718,0.484315225805374,0.0231568328894444,0.0478533185097174,0.000691549938030835,-0.0437069706858123,-0.129012327864683,0.0399904855282339,-0.00575847900962779,-0.00918752110157153,-0.0164884853503451,0.0106719608292679,"Kernel_Errors"
0.0139989368195169,-0.00900978852683236,-0.278022855734953,0.291670712318987,0.442738401827331,0.234817416883107,0.65898483146637,0.295420686456986,0.222311602928804,-0.076864860626496,0.0197449380462454,0.0420127566428248,-0.00506764992921456,0.0713658262396515,0.0303519406773367,-0.0184600339736296,-0.00942899359035225,0.0264399235186312,-0.0030163173652866,"App_Crash_Count"
-0.418254327717921,-0.175937512600163,0.0519018371854319,-0.0122503010747615,0.0142995551572231,-0.00240892932423219,0.0264339116185359,0.0112769878113327,-0.0228055317883768,-0.0407441972771366,-0.00541614176441796,-0.0361665919197616,-0.0240401098693256,0.0162344514771115,-0.0582904014737557,-0.0889683897110698,0.279844280130251,0.124617208005593,0.825054421231431,"Disk_Errors_Corrected"
0.000435045636597386,-0.00229479234927741,-0.312635072693799,0.352695837536532,0.471467882443624,-0.466856367954063,-0.29560980251047,0.0733542956979618,-0.478109505882915,0.0596984071296221,0.00567958785505992,0.038972152975923,-0.0480615208720308,-0.0880620506555839,-0.0180454344701769,-0.0161858270601593,-0.00533003193157535,-0.0143313132296375,0.0163317716503972,"Security_Alerts"
-0.000460981265586854,0.00792054276461297,0.496899173988646,-0.377496475221526,0.304198219956218,0.179984244799954,0.263258092497017,0.137649807751223,-0.604415370649832,0.0591630207749682,0.125654142610685,-0.0301547586939854,0.0268818240821808,-0.0767850714206989,-0.0202982624276562,-0.00806373894406905,-0.0249368390873379,0.0230796596950419,-0.0597903033411626,"Memory_Page_Faults"
